Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
Volkswagen,Golf,2000,4,Hybrid,Manual,237232,4,5,4355
Ford,Fiesta,2002,4,Hybrid,Semi-Automatic,272351,3,3,4252
Kia,Optima,2008,4.6,Petrol,Manual,164879,2,4,7802
Hyundai,Tucson,2018,2.8,Petrol,Manual,160349,4,3,9093
Hyundai,Elantra,2007,1.5,Diesel,Manual,30793,5,1,7084
BMW,3 Series,2019,1.9,Electric,Automatic,6745,2,1,15065
Toyota,Camry,2007,4.9,Hybrid,Manual,23217,2,4,11635
Kia,Sportage,2017,2.7,Hybrid,Automatic,242456,2,5,9550
Hyundai,Sonata,2017,1.3,Hybrid,Automatic,152123,5,5,9957
Honda,CR-V,2022,3.4,Diesel,Automatic,248894,5,2,10622
Mercedes,GLA,2007,2.3,Electric,Manual,76458,3,5,8970
BMW,X5,2017,3.9,Hybrid,Semi-Automatic,2020,3,2,14059
Hyundai,Sonata,2018,2,Hybrid,Automatic,121567,4,4,11568
Volkswagen,Golf,2023,3.5,Petrol,Semi-Automatic,139477,2,5,11710
Ford,Fiesta,2007,4.5,Electric,Manual,53088,3,2,11638
Volkswagen,Tiguan,2020,1.7,Petrol,Automatic,195565,2,5,9388
Audi,A4,2004,4.8,Hybrid,Semi-Automatic,141850,3,2,8263
Honda,Civic,2020,4.6,Petrol,Manual,191397,3,4,10872
Hyundai,Tucson,2015,1.6,Electric,Manual,259533,2,4,7009
Mercedes,C-Class,2015,4.1,Petrol,Automatic,197249,3,1,10255
Volkswagen,Passat,2007,3.8,Electric,Manual,272609,4,5,6547
Ford,Focus,2013,1.1,Diesel,Manual,294516,4,1,3209
Kia,Sportage,2001,2.9,Diesel,Manual,258813,4,5,2123
Toyota,Corolla,2014,4.1,Petrol,Automatic,17100,5,5,13558
Kia,Optima,2017,4.6,Diesel,Manual,197307,3,1,9853
BMW,X5,2007,4.2,Petrol,Automatic,129851,3,4,9302
Mercedes,E-Class,2011,1.8,Diesel,Semi-Automatic,261247,3,4,3975
Audi,Q5,2016,2.5,Electric,Semi-Automatic,121855,5,5,10962
BMW,3 Series,2011,2.6,Petrol,Manual,107928,4,2,7841
Volkswagen,Passat,2011,4.7,Petrol,Automatic,203960,5,3,9520
BMW,5 Series,2009,3,Electric,Manual,17260,5,5,11454
Audi,A3,2022,3.8,Electric,Semi-Automatic,275109,2,5,10997
Toyota,Corolla,2016,2.8,Hybrid,Semi-Automatic,203314,3,3,8633
Toyota,Corolla,2014,2.8,Hybrid,Automatic,190214,5,2,9795
Ford,Explorer,2013,5,Electric,Automatic,188195,5,3,12736
Audi,A4,2010,2,Hybrid,Manual,228204,3,4,5535
BMW,5 Series,2001,2.3,Diesel,Semi-Automatic,66264,2,1,5374
Toyota,Camry,2022,4.5,Electric,Semi-Automatic,162696,4,2,13946
Chevrolet,Malibu,2005,2.2,Diesel,Manual,191462,2,4,3970
Honda,Accord,2001,4,Diesel,Manual,8958,5,1,8220
Hyundai,Elantra,2012,2.6,Hybrid,Manual,11213,5,5,11075
Honda,Accord,2003,3.8,Electric,Semi-Automatic,236022,3,2,6079
Chevrolet,Equinox,2019,3.9,Hybrid,Semi-Automatic,13333,5,1,14433
Mercedes,C-Class,2023,4.6,Electric,Semi-Automatic,274137,2,3,12117
Volkswagen,Passat,2010,3.4,Diesel,Manual,8662,4,3,10326
BMW,3 Series,2018,2.3,Electric,Semi-Automatic,99243,3,3,11815
Ford,Fiesta,2013,3.5,Hybrid,Semi-Automatic,167809,2,3,9143
Honda,CR-V,2018,3,Hybrid,Semi-Automatic,180938,4,3,9881
Mercedes,C-Class,2018,4,Petrol,Manual,66347,3,2,12173
Honda,Civic,2007,1.4,Petrol,Manual,279031,5,3,2019
Chevrolet,Equinox,2013,2.8,Petrol,Manual,63430,4,5,9531
BMW,3 Series,2014,2.1,Petrol,Manual,191744,5,1,6565
Mercedes,E-Class,2023,3.9,Hybrid,Semi-Automatic,58107,3,2,14737
BMW,X5,2002,4.5,Diesel,Manual,86763,2,5,7464
Volkswagen,Golf,2020,3.8,Diesel,Automatic,257521,3,3,10249
Toyota,Corolla,2013,4,Diesel,Manual,213052,4,4,7738
BMW,3 Series,2017,1.9,Petrol,Semi-Automatic,117943,2,4,8741
Volkswagen,Tiguan,2008,4.5,Electric,Semi-Automatic,178837,3,4,9423
Toyota,Corolla,2002,3.9,Diesel,Semi-Automatic,281616,2,3,2967
Chevrolet,Malibu,2013,1.4,Diesel,Automatic,131485,3,5,8270
Audi,A4,2013,3.9,Electric,Manual,21399,5,3,13472
Mercedes,C-Class,2020,3.7,Petrol,Semi-Automatic,148489,3,5,10830
Chevrolet,Equinox,2017,3.1,Electric,Manual,189399,5,4,10512
Volkswagen,Tiguan,2008,3.5,Petrol,Semi-Automatic,179107,2,3,6417
Volkswagen,Passat,2015,4.7,Diesel,Manual,220366,5,1,8892
Kia,Optima,2020,4.7,Petrol,Manual,132200,2,1,12156
Chevrolet,Impala,2009,1.8,Diesel,Automatic,151249,4,1,7075
Chevrolet,Impala,2009,2,Petrol,Manual,184695,5,1,5106
Volkswagen,Golf,2001,4.1,Petrol,Automatic,32602,3,4,9347
Audi,A3,2013,3.2,Electric,Manual,253611,2,4,8127
Toyota,RAV4,2020,4.3,Hybrid,Manual,187223,5,3,11655
Mercedes,E-Class,2004,3,Hybrid,Manual,232438,3,3,4651
Toyota,Camry,2019,4.7,Petrol,Manual,114139,5,4,12217
Toyota,RAV4,2004,1.3,Electric,Automatic,79437,4,4,8511
Honda,Accord,2019,2.2,Diesel,Manual,127801,5,5,9443
Toyota,Camry,2002,1.5,Petrol,Automatic,23115,2,1,7237
Kia,Optima,2010,3.9,Petrol,Automatic,26930,3,3,11961
Toyota,RAV4,2021,2.1,Petrol,Manual,289967,4,3,6700
Ford,Focus,2001,3.2,Petrol,Manual,42064,2,3,6758
Hyundai,Sonata,2018,3.5,Electric,Manual,233614,4,2,10327
Ford,Explorer,2023,4.1,Electric,Automatic,67072,4,3,17258
BMW,X5,2017,2.5,Electric,Manual,256380,2,1,8572
Mercedes,C-Class,2010,1.9,Petrol,Semi-Automatic,159546,2,4,5809
Mercedes,E-Class,2014,3.8,Electric,Semi-Automatic,5877,5,5,13982
Hyundai,Tucson,2002,4.9,Hybrid,Automatic,33244,2,2,11435
Chevrolet,Impala,2013,4.8,Petrol,Manual,206381,4,4,8672
Honda,Civic,2016,4,Diesel,Automatic,175833,3,5,10883
Hyundai,Tucson,2005,3.6,Petrol,Semi-Automatic,157073,2,1,6058
BMW,3 Series,2015,2.9,Electric,Automatic,131766,2,3,12364
Ford,Explorer,2001,2.2,Petrol,Manual,18630,3,5,6227
Audi,A4,2015,2.1,Diesel,Automatic,54522,3,5,11109
Mercedes,GLA,2013,1.4,Electric,Semi-Automatic,231290,3,3,6774
Kia,Optima,2000,3.7,Electric,Manual,166776,2,2,6464
Audi,A3,2002,4,Diesel,Manual,16302,5,2,8373
Audi,Q5,2015,2.9,Hybrid,Semi-Automatic,252824,3,1,7443
Kia,Sportage,2007,1.2,Hybrid,Automatic,269614,3,4,4507
Kia,Sportage,2000,2.8,Electric,Semi-Automatic,264697,2,5,3606
Honda,CR-V,2014,4,Petrol,Manual,287926,5,2,6541
Audi,A3,2001,1.8,Petrol,Automatic,43196,5,2,6836
Toyota,RAV4,2001,4.5,Diesel,Semi-Automatic,279971,3,1,3300
Hyundai,Sonata,2009,1,Petrol,Manual,286745,2,5,2065
Mercedes,C-Class,2011,2.3,Electric,Semi-Automatic,885,3,2,11682
Honda,Civic,2013,3.5,Hybrid,Semi-Automatic,93273,2,4,10634
BMW,X5,2004,3.7,Diesel,Semi-Automatic,110947,3,2,6781
Honda,CR-V,2018,1.2,Petrol,Manual,166808,5,2,7363
Audi,Q5,2022,3.8,Diesel,Automatic,186035,4,3,12279
Ford,Fiesta,2005,1,Hybrid,Semi-Automatic,68819,2,3,6223
Chevrolet,Impala,2018,3.7,Petrol,Semi-Automatic,157181,5,2,10056
Mercedes,C-Class,2007,3.9,Petrol,Semi-Automatic,97350,3,3,8153
Volkswagen,Passat,2016,3.5,Diesel,Manual,271497,5,4,6970
Toyota,RAV4,2013,4.3,Electric,Semi-Automatic,225452,4,5,9790
Kia,Optima,2010,3.8,Petrol,Automatic,51040,5,2,11379
Volkswagen,Golf,2012,4.2,Electric,Semi-Automatic,7544,2,5,13749
Chevrolet,Equinox,2009,2.6,Hybrid,Semi-Automatic,264411,3,1,5111
BMW,X5,2012,4.3,Petrol,Manual,153919,5,2,8921
Honda,CR-V,2010,1.7,Petrol,Manual,115344,2,5,6493
Kia,Rio,2009,2.9,Diesel,Semi-Automatic,106781,3,2,7564
Hyundai,Sonata,2011,1,Petrol,Manual,279545,2,3,2809
Hyundai,Sonata,2020,1.7,Petrol,Manual,11757,3,1,11564
Audi,Q5,2014,2.4,Petrol,Semi-Automatic,230787,3,1,6084
Hyundai,Elantra,2020,3.7,Hybrid,Automatic,216478,2,1,11970
Mercedes,C-Class,2003,2.6,Diesel,Semi-Automatic,134567,5,2,4908
Mercedes,C-Class,2006,4.5,Electric,Manual,162852,2,3,9142
BMW,3 Series,2023,3.9,Hybrid,Semi-Automatic,112480,2,2,13650
Kia,Optima,2017,1.9,Electric,Automatic,60780,2,1,13384
Honda,CR-V,2012,3.2,Diesel,Automatic,21520,4,4,11969
BMW,5 Series,2017,2.1,Diesel,Automatic,199006,3,3,8819
Chevrolet,Equinox,2006,2,Hybrid,Automatic,11585,5,4,10168
Chevrolet,Equinox,2009,2.8,Electric,Manual,79962,3,2,10000
Volkswagen,Golf,2014,3.9,Electric,Automatic,95537,4,2,13789
Mercedes,GLA,2021,4.3,Diesel,Manual,229873,4,2,10102
Toyota,RAV4,2006,1.3,Hybrid,Manual,195129,4,5,4297
Chevrolet,Impala,2011,4,Hybrid,Automatic,136926,5,1,11161
Ford,Focus,2003,3.2,Petrol,Semi-Automatic,85005,3,1,6499
Audi,A4,2017,2.7,Electric,Automatic,172248,3,2,11955
Volkswagen,Golf,2017,4.3,Petrol,Automatic,179528,2,5,11409
Hyundai,Sonata,2014,2.3,Electric,Manual,1752,4,2,12564
Mercedes,GLA,2008,3.2,Electric,Manual,25557,5,4,11188
BMW,5 Series,2007,3.9,Hybrid,Automatic,211162,5,5,8376
Audi,A3,2014,4,Petrol,Automatic,182364,5,5,10152
Hyundai,Sonata,2010,1.6,Petrol,Automatic,112946,2,5,7941
Ford,Focus,2009,2.1,Petrol,Automatic,122067,4,4,7958
Toyota,RAV4,2008,3.5,Electric,Semi-Automatic,296747,3,1,6065
BMW,5 Series,2018,2.8,Petrol,Semi-Automatic,23722,5,5,11825
Hyundai,Elantra,2000,1.8,Petrol,Manual,161487,3,5,2670
Ford,Focus,2009,4.1,Petrol,Automatic,99562,5,2,10408
Kia,Optima,2018,1.9,Electric,Manual,107386,5,4,11252
Volkswagen,Golf,2021,4,Diesel,Automatic,32991,5,3,15240
Audi,A3,2017,1.7,Diesel,Manual,156940,4,2,7761
Toyota,Camry,2007,2.2,Diesel,Manual,87444,4,4,6651
BMW,5 Series,2009,1.4,Petrol,Manual,232049,3,2,3559
Ford,Focus,2009,1.2,Hybrid,Automatic,114668,2,4,8206
Toyota,Camry,2017,4.8,Electric,Semi-Automatic,297176,4,2,10056
Hyundai,Sonata,2011,4.1,Hybrid,Semi-Automatic,138965,4,4,9720
Volkswagen,Tiguan,2006,4.4,Petrol,Automatic,251894,2,4,6762
Toyota,Corolla,2006,2.8,Diesel,Semi-Automatic,174551,4,5,5208
BMW,5 Series,2011,3,Petrol,Automatic,260151,5,1,6696
Chevrolet,Malibu,2006,2.8,Petrol,Manual,253372,2,4,3632
Mercedes,GLA,2010,1.9,Hybrid,Manual,99563,3,5,8008
Ford,Fiesta,2014,3.9,Electric,Automatic,267949,3,2,10341
BMW,X5,2010,4.6,Diesel,Manual,79663,5,5,10106
Toyota,RAV4,2013,3.5,Electric,Automatic,85640,3,4,13287
Mercedes,E-Class,2001,4.4,Hybrid,Automatic,1937,4,4,11261
Ford,Fiesta,2014,3.2,Petrol,Automatic,253316,3,5,7933
Mercedes,E-Class,2007,3.2,Diesel,Semi-Automatic,203452,2,4,5330
Hyundai,Elantra,2022,4.2,Electric,Manual,181600,3,3,13268
BMW,X5,2002,2.9,Petrol,Manual,296864,4,2,2000
Kia,Sportage,2014,1.4,Hybrid,Semi-Automatic,262641,4,1,5447
Audi,Q5,2023,4.7,Electric,Automatic,222000,3,3,14760
Ford,Focus,2006,4.6,Petrol,Automatic,98002,5,4,10039
Kia,Sportage,2000,3.4,Hybrid,Manual,131933,4,1,5861
BMW,X5,2001,4.6,Diesel,Manual,287045,4,4,3259
Chevrolet,Malibu,2008,2.5,Petrol,Semi-Automatic,215987,5,3,4680
Honda,CR-V,2009,2.8,Diesel,Manual,201403,3,5,5571
BMW,3 Series,2021,3.9,Petrol,Manual,263073,4,3,9038
Audi,A3,2021,4.4,Diesel,Semi-Automatic,91956,2,2,12960
Kia,Sportage,2021,1.3,Hybrid,Manual,197902,5,5,8741
Toyota,RAV4,2006,1,Diesel,Automatic,107474,4,5,6250
BMW,5 Series,2011,1.1,Diesel,Automatic,178039,3,1,6439
BMW,5 Series,2009,4,Electric,Automatic,84645,2,2,12607
Kia,Optima,2020,4.1,Hybrid,Semi-Automatic,118504,2,4,12829
Honda,Accord,2009,2.7,Petrol,Manual,217224,4,5,5155
Toyota,Camry,2002,2.6,Petrol,Automatic,118041,3,4,6439
Audi,A4,2020,4.3,Diesel,Semi-Automatic,186962,3,5,10660
Mercedes,GLA,2023,1.3,Electric,Semi-Automatic,78961,5,2,12720
Mercedes,GLA,2010,1,Hybrid,Manual,296156,5,1,3176
Toyota,RAV4,2019,2,Petrol,Automatic,232074,3,5,8658
Ford,Explorer,2001,2.3,Electric,Manual,38542,5,2,7929
BMW,X5,2010,2.9,Diesel,Automatic,295058,5,1,5598
Toyota,Camry,2013,2.2,Hybrid,Manual,262285,4,4,5954
Ford,Explorer,2008,3.9,Electric,Semi-Automatic,225838,5,3,7883
Chevrolet,Equinox,2023,3,Hybrid,Automatic,230795,5,4,11884
Chevrolet,Malibu,2008,2.5,Petrol,Manual,94729,5,3,7105
Mercedes,C-Class,2022,3.1,Petrol,Automatic,282199,2,2,9656
Audi,A3,2006,2.6,Diesel,Automatic,282423,5,5,4351
Mercedes,C-Class,2004,4,Diesel,Manual,191859,3,5,5462
Ford,Fiesta,2004,2.2,Hybrid,Automatic,256459,4,5,4870
Kia,Sportage,2021,2.1,Electric,Semi-Automatic,74107,5,4,13017
Volkswagen,Golf,2019,3.9,Petrol,Manual,230974,5,3,9080
BMW,5 Series,2016,1.7,Petrol,Manual,56150,3,1,9477
Mercedes,C-Class,2010,4.7,Diesel,Semi-Automatic,256100,3,2,6678
Volkswagen,Golf,2006,2.7,Hybrid,Automatic,9512,2,1,10909
Audi,A3,2011,4.8,Petrol,Automatic,80241,2,3,12095
Audi,A4,2021,4.7,Diesel,Semi-Automatic,150713,2,4,12085
Audi,Q5,2018,1.7,Electric,Semi-Automatic,207019,2,3,9059
Audi,A3,2023,3.2,Petrol,Semi-Automatic,163039,3,3,10939
Toyota,Corolla,2000,2,Diesel,Manual,145101,3,5,3197
Ford,Focus,2016,1.4,Petrol,Semi-Automatic,278559,5,4,4728
Hyundai,Elantra,2017,4.2,Diesel,Automatic,269154,3,2,9516
Kia,Sportage,2010,2.3,Petrol,Manual,62065,2,2,8158
Audi,Q5,2023,1.9,Diesel,Manual,52679,5,3,11846
Toyota,Camry,2014,1,Petrol,Manual,177766,3,2,5744
Honda,Civic,2007,1.6,Electric,Manual,158154,3,4,6636
Chevrolet,Impala,2021,1.3,Electric,Automatic,52051,5,1,14158
Toyota,Camry,2023,1.5,Diesel,Manual,117049,2,5,10159
Toyota,Camry,2000,1.8,Electric,Automatic,271405,4,4,3971
Hyundai,Sonata,2010,2.6,Hybrid,Semi-Automatic,260006,3,3,5499
Toyota,RAV4,2012,1.7,Petrol,Manual,234785,3,1,4704
Kia,Optima,2009,1.6,Electric,Automatic,222076,5,4,7458
Volkswagen,Passat,2002,1.8,Petrol,Manual,194835,3,3,2603
Ford,Focus,2013,2,Diesel,Automatic,145970,2,2,8580
Ford,Fiesta,2011,1.4,Hybrid,Automatic,30785,4,3,10684
Audi,Q5,2015,3.7,Diesel,Semi-Automatic,57196,3,1,11156
Kia,Sportage,2019,4,Diesel,Semi-Automatic,50680,3,4,12786
Toyota,RAV4,2001,4.7,Diesel,Semi-Automatic,230052,2,3,4498
Honda,Civic,2019,4.2,Petrol,Manual,273193,2,4,8536
Hyundai,Elantra,2003,4.4,Hybrid,Semi-Automatic,169451,2,2,7010
BMW,X5,2020,2.2,Electric,Automatic,286174,4,5,10076
Chevrolet,Malibu,2004,4.9,Diesel,Manual,242712,5,4,5345
Hyundai,Elantra,2014,3.4,Electric,Manual,227371,4,5,9152
Kia,Optima,2002,1.7,Diesel,Manual,79442,4,2,4811
Toyota,Corolla,2005,3.2,Petrol,Automatic,29885,2,2,9702
Volkswagen,Tiguan,2008,4.3,Diesel,Semi-Automatic,261478,4,5,5570
Kia,Optima,2010,1.2,Petrol,Automatic,170847,4,4,6383
BMW,X5,2001,4.1,Electric,Semi-Automatic,87221,5,4,8755
Mercedes,C-Class,2014,2.9,Petrol,Manual,217980,4,4,6840
Volkswagen,Passat,2010,4.1,Electric,Automatic,71288,5,2,13274
BMW,5 Series,2016,4.5,Diesel,Manual,91092,2,1,11578
Honda,Civic,2020,4.4,Petrol,Semi-Automatic,24913,3,3,14001
Kia,Sportage,2000,4.2,Hybrid,Semi-Automatic,155444,3,5,6191
Mercedes,E-Class,2014,2.5,Electric,Semi-Automatic,171683,3,2,9366
Honda,CR-V,2015,4.8,Diesel,Automatic,295428,3,5,8991
Volkswagen,Golf,2010,3.9,Petrol,Automatic,207380,2,5,8352
Mercedes,C-Class,2012,1.5,Electric,Automatic,89226,5,5,10915
BMW,3 Series,2001,4.6,Hybrid,Manual,79217,4,4,8415
Mercedes,E-Class,2010,3.3,Diesel,Automatic,297971,2,3,5940
Ford,Fiesta,2011,3.5,Diesel,Semi-Automatic,178950,2,3,7321
Audi,A3,2017,3.4,Electric,Automatic,148880,3,5,13122
Honda,Accord,2013,1.7,Petrol,Semi-Automatic,23936,4,4,9221
Audi,Q5,2002,2.1,Electric,Manual,68076,4,1,7438
Chevrolet,Malibu,2015,2.9,Diesel,Automatic,144743,2,3,10105
Kia,Rio,2014,4.4,Diesel,Semi-Automatic,90279,3,5,10894
Audi,A3,2018,2.5,Diesel,Semi-Automatic,56429,2,1,10871
Audi,A3,2014,2.9,Diesel,Automatic,1197,2,5,12676
Mercedes,C-Class,2021,1.9,Petrol,Automatic,200177,2,2,9796
Chevrolet,Malibu,2022,3,Diesel,Manual,5679,2,4,13586
BMW,3 Series,2011,3.3,Hybrid,Manual,14586,4,1,11408
Kia,Sportage,2001,3.6,Hybrid,Semi-Automatic,202216,3,3,4955
BMW,5 Series,2002,4.8,Petrol,Manual,249673,5,1,4506
Chevrolet,Impala,2011,1.7,Diesel,Manual,39156,3,1,8316
Volkswagen,Golf,2010,4.5,Electric,Semi-Automatic,68014,3,2,12239
Ford,Focus,2008,2.4,Petrol,Manual,126868,5,3,6362
Mercedes,E-Class,2010,3,Electric,Manual,258632,4,5,6927
Ford,Fiesta,2021,4.3,Hybrid,Semi-Automatic,201170,3,5,11676
Audi,A3,2019,2.9,Hybrid,Manual,13569,2,3,13428
BMW,3 Series,2020,2.1,Diesel,Semi-Automatic,191301,3,1,8373
Kia,Sportage,2002,4.4,Petrol,Semi-Automatic,169424,3,3,5711
BMW,X5,2010,2.9,Petrol,Manual,63026,2,5,8739
Chevrolet,Malibu,2001,4.8,Electric,Semi-Automatic,145630,2,1,8287
Audi,Q5,2003,3.7,Diesel,Automatic,44024,4,4,9319
Audi,Q5,2022,1.2,Electric,Manual,122902,2,3,11441
Audi,A3,2012,4,Electric,Semi-Automatic,92692,3,2,11846
Chevrolet,Equinox,2020,2.9,Petrol,Automatic,22360,2,5,14052
Mercedes,E-Class,2018,3.4,Diesel,Manual,53596,5,1,11828
Honda,Accord,2000,3.6,Electric,Semi-Automatic,45737,5,1,8785
Kia,Sportage,2020,3,Hybrid,Automatic,98160,2,5,13636
Chevrolet,Impala,2018,4,Petrol,Manual,253702,3,4,8425
Ford,Explorer,2006,1.5,Hybrid,Semi-Automatic,94715,5,2,6505
Volkswagen,Passat,2005,1.4,Diesel,Semi-Automatic,1841,2,2,6963
Kia,Optima,2021,1.6,Diesel,Semi-Automatic,109050,2,5,9819
BMW,5 Series,2008,4.4,Hybrid,Semi-Automatic,236894,2,1,7162
Toyota,Corolla,2016,4.4,Electric,Automatic,256691,4,1,11666
Ford,Explorer,2006,1.6,Hybrid,Semi-Automatic,235768,5,2,3784
Mercedes,C-Class,2003,4.4,Hybrid,Manual,88089,3,3,8638
Honda,CR-V,2007,3.8,Electric,Automatic,160230,4,2,10295
Mercedes,E-Class,2000,1.1,Diesel,Manual,233776,2,3,2000
Chevrolet,Equinox,2015,1.3,Hybrid,Semi-Automatic,117006,3,5,8559
Ford,Fiesta,2005,4.7,Diesel,Semi-Automatic,295379,2,2,4392
Chevrolet,Impala,2019,2.5,Hybrid,Manual,299406,3,1,7311
Ford,Explorer,2011,1.4,Petrol,Semi-Automatic,182197,4,3,5156
Volkswagen,Tiguan,2015,1.4,Electric,Semi-Automatic,235687,2,2,7286
Volkswagen,Passat,2005,1.6,Electric,Automatic,293339,5,1,4833
Audi,A3,2008,3.5,Diesel,Manual,79861,4,1,8402
Mercedes,C-Class,2020,1.9,Petrol,Semi-Automatic,288000,4,5,6240
Kia,Rio,2022,1.6,Diesel,Automatic,295898,3,1,7882
Toyota,RAV4,2005,2.5,Hybrid,Semi-Automatic,239287,4,1,4314
Honda,CR-V,2016,4.4,Petrol,Automatic,7588,4,5,14648
Volkswagen,Tiguan,2002,3.4,Diesel,Automatic,152117,3,2,6557
Kia,Sportage,2019,4.4,Petrol,Manual,195296,5,4,10294
Chevrolet,Impala,2006,4.4,Diesel,Automatic,191716,2,3,7965
Honda,CR-V,2000,3.6,Petrol,Manual,230409,2,3,3091
Honda,Civic,2014,1.1,Diesel,Automatic,106397,4,2,8772
Volkswagen,Passat,2007,3.7,Electric,Manual,295514,2,4,5989
Kia,Sportage,2001,3.1,Hybrid,Automatic,232603,4,4,5347
Mercedes,E-Class,2000,2.5,Diesel,Manual,18150,3,5,6237
Volkswagen,Passat,2000,1.8,Petrol,Automatic,222084,2,3,2958
Toyota,Corolla,2016,3.7,Petrol,Manual,59160,5,2,11416
Chevrolet,Equinox,2016,2.3,Petrol,Semi-Automatic,73775,3,4,9724
Mercedes,E-Class,2007,2.4,Electric,Automatic,89733,3,1,10305
